pack	version	card_id	signature	context	signals
after-work	after-work-v2	clock-out	1	퇴근·전환	reg.transition:A
after-work	after-work-v2	route-home	0	이동	reg.stimulus:A
after-work	after-work-v2	dinner	0	식사·선택	dec.convergence:A
after-work	after-work-v2	decompress	0	회복·감정	exp.processing:A,reg.source:A
after-work	after-work-v2	message-after	0	연락	exp.reaction:A,rel.cadence:A
after-work	after-work-v2	energy	0	여가·회복	reg.motion:A
after-work	after-work-v2	weeknight	0	약속	act.preparation:B
after-work	after-work-v2	hobby	0	취미·일상	act.routine:A,pref.stability:A
after-work	after-work-v2	tomorrow	0	귀가·전환	reg.transition:A
after-work	after-work-v2	weekend-countdown	0	계획	act.preparation:A
algorithm-mirror	algorithm-mirror-v2	feed-clue	1	추천·탐색	pref.discovery:A
algorithm-mirror	algorithm-mirror-v2	save-first	0	콘텐츠·반응	exp.reaction:A
algorithm-mirror	algorithm-mirror-v2	rabbit-hole	0	탐색·변경	pref.discovery:B,act.adjustment:A
algorithm-mirror	algorithm-mirror-v2	share-find	0	콘텐츠·공유	exp.reaction:A,rel.cadence:A
algorithm-mirror	algorithm-mirror-v2	trend-check	0	유행·시도	dec.experiment:B
algorithm-mirror	algorithm-mirror-v2	recommendation	0	추천·비교	pref.discovery:A
algorithm-mirror	algorithm-mirror-v2	comment-dive	0	콘텐츠·정보	att.reading:A
algorithm-mirror	algorithm-mirror-v2	old-favorite	0	취향·기억	pref.stability:A
algorithm-mirror	algorithm-mirror-v2	search-style	0	검색·정보	act.preparation:A,att.reading:B
algorithm-mirror	algorithm-mirror-v2	recommend-to-me	0	추천·설명	att.story:B
camera-roll	camera-roll-v2	first-photo	1	경험·기록	att.experience:A
camera-roll	camera-roll-v2	food-photo	0	식사·기록	att.experience:A
camera-roll	camera-roll-v2	selfie	0	자기표현·선택	dec.convergence:B
camera-roll	camera-roll-v2	friend-photo	0	친구·사진	coop.sync:A
camera-roll	camera-roll-v2	cleanup	0	정리·일상	act.routine:A
camera-roll	camera-roll-v2	old-album	0	기억	att.memory:A
camera-roll	camera-roll-v2	share-photo	0	사진·공유	exp.reaction:A,dec.revision:A
camera-roll	camera-roll-v2	screenshot	0	저장·공유	att.experience:A
camera-roll	camera-roll-v2	landscape	0	풍경·기억	att.memory:A
camera-roll	camera-roll-v2	favorite	0	사진·선택	att.story:A
comment-section	comment-section-v2	surprise-thought	1	돌발·생각	exp.reaction:A,exp.processing:A
comment-section	comment-section-v2	replay	0	대화·전환	reg.transition:B
comment-section	comment-section-v2	awkward-moment	0	민망함·전환	exp.reaction:A,reg.transition:A
comment-section	comment-section-v2	idea	0	아이디어	exp.processing:A
comment-section	comment-section-v2	choice-voice	0	선택	dec.convergence:A
comment-section	comment-section-v2	quiet	0	혼자·생각	reg.stimulus:A
comment-section	comment-section-v2	mistake	0	실수	act.start:A
comment-section	comment-section-v2	compliment-thought	0	칭찬·기억	att.story:A
comment-section	comment-section-v2	plan-thought	0	계획	act.preparation:B
comment-section	comment-section-v2	share-thought	0	감정·공유	exp.processing:A,reg.source:A
compliment-receipt	compliment-receipt-v2	receive	1	칭찬·반응	exp.intensity:A,exp.reaction:A
compliment-receipt	compliment-receipt-v2	give	0	칭찬·표현	exp.reaction:A
compliment-receipt	compliment-receipt-v2	specific	0	칭찬·기억	att.memory:A
compliment-receipt	compliment-receipt-v2	achievement	0	성취	coop.sync:A
compliment-receipt	compliment-receipt-v2	awkward	0	칭찬·표현	exp.form:A
compliment-receipt	compliment-receipt-v2	encourage	0	위로·도움	coop.support:A
compliment-receipt	compliment-receipt-v2	small-win	0	성취·공유	exp.intensity:A,reg.source:A
compliment-receipt	compliment-receipt-v2	feedback	0	피드백	dec.revision:A
compliment-receipt	compliment-receipt-v2	support	0	위로·도움	coop.support:A
compliment-receipt	compliment-receipt-v2	memory	0	칭찬·기억	att.story:A
coworker	coworker-v1	unclear-task	1	업무·애매함	coop.ambiguity:A
coworker	coworker-v1	meeting	0	회의·표현	exp.reaction:A
coworker	coworker-v1	focus	0	업무·집중	reg.stimulus:B
coworker	coworker-v1	deadline	0	업무·마감	act.preparation:A
coworker	coworker-v1	feedback	0	업무·피드백	exp.processing:A
coworker	coworker-v1	new-colleague	0	동료·관계	rel.entry:A
coworker	coworker-v1	break	0	업무·회복	reg.source:A
coworker	coworker-v1	plan-change	0	업무·변경	att.reading:B
coworker	coworker-v1	ask-help	0	업무·도움	exp.reaction:A
coworker	coworker-v1	share-work	0	업무·공유	exp.reaction:A,dec.revision:A
deadline-mode	deadline-mode-v1	start-point	1	마감·시작	act.start:A
deadline-mode	deadline-mode-v1	calendar	0	업무·순서	act.preparation:A,att.reading:A
deadline-mode	deadline-mode-v1	focus-place	0	집중·변경	act.adjustment:A
deadline-mode	deadline-mode-v1	first-draft	0	초안·애매함	act.start:A,coop.ambiguity:B
deadline-mode	deadline-mode-v1	help-signal	0	업무·도움	exp.reaction:A
deadline-mode	deadline-mode-v1	break-time	0	업무·회복	reg.motion:A
deadline-mode	deadline-mode-v1	feedback-time	0	업무·피드백	exp.reaction:A,coop.role:A
deadline-mode	deadline-mode-v1	deadline-night	0	마감·선택	dec.convergence:A
deadline-mode	deadline-mode-v1	done	0	완료·전환	reg.transition:A
deadline-mode	deadline-mode-v1	rematch	0	반복·변경	pref.familiarity:A,act.adjustment:B
decision-spiral	decision-spiral-v2	menu	1	선택	dec.convergence:A
decision-spiral	decision-spiral-v2	recommendation	0	선택·피로	coop.sync:A
decision-spiral	decision-spiral-v2	big-choice	0	중요한선택	dec.openness:A
decision-spiral	decision-spiral-v2	coin-flip	0	선택·시간	dec.convergence:A
decision-spiral	decision-spiral-v2	risk	0	선택·시도	dec.experiment:B
decision-spiral	decision-spiral-v2	purchase	0	소비·선택	pref.focus:A
decision-spiral	decision-spiral-v2	plan-change	0	계획·변경	act.adjustment:A,dec.revision:B
decision-spiral	decision-spiral-v2	advice	0	조언·애매함	coop.ambiguity:B,att.story:B
decision-spiral	decision-spiral-v2	regret	0	선택·회고	act.adjustment:A
decision-spiral	decision-spiral-v2	easy-day	0	선택·피로	dec.openness:A
emoji-subtitles	emoji-subtitles-v2	reaction-style	1	메시지·표현	exp.form:A
emoji-subtitles	emoji-subtitles-v2	funny-post	0	콘텐츠·공유	exp.reaction:A
emoji-subtitles	emoji-subtitles-v2	tone	0	장난·표현	exp.form:A
emoji-subtitles	emoji-subtitles-v2	inside-reference	0	새표현·관계	rel.distance:A,dec.experiment:B
emoji-subtitles	emoji-subtitles-v2	misread	0	오해·표현	exp.form:A
emoji-subtitles	emoji-subtitles-v2	gif-choice	0	메시지·정보	att.reading:A
emoji-subtitles	emoji-subtitles-v2	new-slang	0	새표현·시도	rel.distance:A,dec.experiment:B
emoji-subtitles	emoji-subtitles-v2	laughter	0	메시지·반응	exp.intensity:A
emoji-subtitles	emoji-subtitles-v2	reply-context	0	메시지·설명	att.story:A
emoji-subtitles	emoji-subtitles-v2	translate	0	메시지·애매함	coop.ambiguity:A
first-impression	first-impression-v2	first-move	1	첫만남	rel.entry:A
first-impression	first-impression-v2	first-topic	0	첫대화	rel.range:A
first-impression	first-impression-v2	group-entry	0	낯선모임	rel.range:A
first-impression	first-impression-v2	silence	0	대화·진입	rel.entry:A
first-impression	first-impression-v2	interest	0	관심·표현	exp.form:A
first-impression	first-impression-v2	humor	0	첫만남·반응	rel.entry:A
first-impression	first-impression-v2	warm-up	0	관계·거리	rel.distance:A
first-impression	first-impression-v2	meet-again	0	재회·대화	rel.distance:A
first-impression	first-impression-v2	follow-up	0	첫만남·연락	rel.cadence:A
first-impression	first-impression-v2	outfit	0	첫인상·준비	act.preparation:A,pref.familiarity:A
friend-fusion	friend-fusion-v2	combined-plan	1	협업·역할	coop.role:A
friend-fusion	friend-fusion-v2	trip-team	0	여행·협업	act.preparation:B,coop.ambiguity:A
friend-fusion	friend-fusion-v2	game-team	0	놀이·협업	coop.sync:A
friend-fusion	friend-fusion-v2	food-team	0	식사·협업	dec.convergence:B,coop.role:A
friend-fusion	friend-fusion-v2	problem-team	0	문제·도움	coop.support:A
friend-fusion	friend-fusion-v2	photo-team	0	사진·협업	coop.role:A
friend-fusion	friend-fusion-v2	gift-team	0	선물·정보	att.reading:A
friend-fusion	friend-fusion-v2	story-team	0	친구·기억	att.memory:A
friend-fusion	friend-fusion-v2	support-team	0	친구·도움	coop.support:A
friend-fusion	friend-fusion-v2	best-combo	0	협업·조율	coop.sync:A
group-chat-role	group-chat-role-v2	new-message	1	단체채팅·반응	exp.reaction:A
group-chat-role	group-chat-role-v2	plan-maker	0	모임·애매함	coop.role:A,coop.ambiguity:B
group-chat-role	group-chat-role-v2	photo-drop	0	사진·기억	att.experience:A
group-chat-role	group-chat-role-v2	silence-break	0	단체채팅·진입	rel.entry:A
group-chat-role	group-chat-role-v2	notification	0	단체채팅·정보	att.reading:A
group-chat-role	group-chat-role-v2	birthday	0	축하·반응	exp.reaction:A
group-chat-role	group-chat-role-v2	decision	0	의견조율	coop.sync:A
group-chat-role	group-chat-role-v2	inside-joke	0	친구·이야기	att.story:A
group-chat-role	group-chat-role-v2	exit	0	단체채팅·정보	exp.reaction:A,att.reading:A
group-chat-role	group-chat-role-v2	meeting-day	0	모임·진입	rel.entry:A
honest-self	honest-self-v2	busy-mind	1	감정·회복	exp.processing:A,reg.source:A
honest-self	honest-self-v2	compliment	0	감정·숨김	rel.distance:A
honest-self	honest-self-v2	big-choice	0	걱정·생각	exp.processing:A
honest-self	honest-self-v2	letdown	0	실망·전환	exp.intensity:A,reg.transition:B
honest-self	honest-self-v2	misunderstood	0	오해·반응	exp.reaction:A
honest-self	honest-self-v2	free-day	0	친밀한관계	exp.intensity:A
honest-self	honest-self-v2	need-help	0	도움·반응	exp.reaction:A
honest-self	honest-self-v2	new-start	0	걱정·준비	act.preparation:A
honest-self	honest-self-v2	attention	0	주목·표현	exp.intensity:A
honest-self	honest-self-v2	affection	0	애정·표현	exp.form:B
laugh-track	laugh-track-v1	first-laugh	1	웃음·반응	exp.reaction:A,exp.intensity:A
laugh-track	laugh-track-v1	storytelling	0	유머·이야기	att.story:A
laugh-track	laugh-track-v1	pun	0	유머·반응	exp.reaction:A
laugh-track	laugh-track-v1	friend-joke	0	친구·웃음	exp.intensity:A
laugh-track	laugh-track-v1	unexpected	0	돌발·반응	exp.reaction:A
laugh-track	laugh-track-v1	reference	0	유머·기억	pref.discovery:A
laugh-track	laugh-track-v1	quiet-laugh	0	웃음·표현	exp.intensity:A
laugh-track	laugh-track-v1	humor-style	0	유머·취향	pref.discovery:A
laugh-track	laugh-track-v1	share-laugh	0	유머·공유	reg.source:A
laugh-track	laugh-track-v1	recover	0	웃음·회복	reg.stimulus:A
old-friend	old-friend-v2	conflict	0	친구·갈등	exp.reaction:A,exp.processing:A
old-friend	old-friend-v2	reunion	1	재회·거리	rel.distance:A
old-friend	old-friend-v2	plans	0	친구·약속	act.preparation:A
old-friend	old-friend-v2	comfort	0	친구·위로	coop.support:B
old-friend	old-friend-v2	gathering	0	친구·모임	rel.entry:A
old-friend	old-friend-v2	reconnect	0	친구·연락	rel.cadence:A
old-friend	old-friend-v2	memory	0	친구·기억	att.memory:A
old-friend	old-friend-v2	travel	0	친구·여행	act.preparation:A
old-friend	old-friend-v2	celebration	0	친구·축하	rel.cadence:A,exp.reaction:A
old-friend	old-friend-v2	hard-day	0	친구·회복	exp.processing:A,reg.source:A
reply-temperature	reply-temperature-v2	reply-gap	1	메시지·기다림	rel.cadence:B
reply-temperature	reply-temperature-v2	first-text	0	연락·진입	rel.entry:A,rel.cadence:A
reply-temperature	reply-temperature-v2	emoji-reply	0	메시지·표현	exp.form:A,exp.reaction:A
reply-temperature	reply-temperature-v2	long-message	0	메시지·정보	att.reading:A
reply-temperature	reply-temperature-v2	typo	0	메시지·검토	dec.revision:B
reply-temperature	reply-temperature-v2	late-night	0	메시지·시간	exp.reaction:A
reply-temperature	reply-temperature-v2	reaction	0	콘텐츠·연락	exp.reaction:A
reply-temperature	reply-temperature-v2	voice-note	0	메시지·표현	exp.form:A
reply-temperature	reply-temperature-v2	read-receipt	0	메시지·기다림	rel.cadence:B
reply-temperature	reply-temperature-v2	goodbye	0	대화·종료	dec.openness:B
room-temperature	room-temperature-v2	reset-space	1	귀가·공간	reg.transition:A
room-temperature	room-temperature-v2	lighting	0	공간·빛	reg.stimulus:A
room-temperature	room-temperature-v2	sound	0	공간·소리	reg.stimulus:A
room-temperature	room-temperature-v2	tidy	0	공간·정리	act.start:A
room-temperature	room-temperature-v2	blanket	0	귀가·전환	reg.transition:A
room-temperature	room-temperature-v2	window	0	공간·환경	act.start:A
room-temperature	room-temperature-v2	plant	0	공간·선택	pref.focus:A
room-temperature	room-temperature-v2	desk	0	공간·집중	act.preparation:A
room-temperature	room-temperature-v2	scent	0	공간·환경	pref.discovery:A
room-temperature	room-temperature-v2	guest	0	공간·돌봄	coop.support:A
small-luxury	small-luxury-v2	treat	1	소비·만족	pref.focus:A
small-luxury	small-luxury-v2	coffee	0	카페·취향	pref.stability:A,dec.experiment:A
small-luxury	small-luxury-v2	gift	0	소비·보상	pref.stability:A
small-luxury	small-luxury-v2	upgrade	0	소비·검토	dec.revision:B
