pack	source_version	card_id	owner_prompt	visitor_prompt	option_a	option_b	signals
after-work	after-work-v2	route-home	퇴근길에 기분 전환이 필요하면 나는?	퇴근길에 기분 전환이 필요할 때 이 사람은?	다른 길이나 음악으로 분위기를 바꾼다	익숙한 길을 조용히 걸으며 가라앉힌다	reg.stimulus:A
algorithm-mirror	algorithm-mirror-v2	old-favorite	예전에 좋아한 콘텐츠를 다시 발견하면 나는?	예전에 좋아한 콘텐츠를 다시 발견하면 이 사람은?	익숙한 최애로 다시 깊게 들어간다	지금 끌리는 새로운 취향과 비교한다	pref.stability:A
algorithm-mirror	algorithm-mirror-v2	comment-dive	흥미로운 영상의 댓글을 볼 때 나는?	흥미로운 영상의 댓글을 볼 때 이 사람은?	처음부터 흐름을 따라 차례로 읽는다	반응이 큰 핵심 댓글부터 찾아본다	att.reading:A
camera-roll	camera-roll-v2	friend-photo	친구와 사진을 같이 만들 때 우리는?	친구와 사진을 같이 만들 때 이 사람은?	같은 박자에 맞춰 포즈를 잡는다	한 명은 구도, 한 명은 표정을 맡는다	coop.sync:A
camera-roll	camera-roll-v2	screenshot	재밌는 화면을 발견하면 나는?	재밌는 화면을 발견하면 이 사람은?	바로 캡처하며 따라간다	먼저 끝까지 본 뒤 필요한 장면을 남긴다	att.experience:A
camera-roll	camera-roll-v2	favorite	친구에게 사진 한 장을 보여준다면 나는?	친구에게 사진 한 장을 보여준다면 이 사람은?	전후 맥락이 담긴 장면을 고른다	핵심 표정이 바로 보이는 장면을 고른다	att.story:A
camera-roll	camera-roll-v2	landscape	여행 풍경을 나중에 떠올릴 때 나는?	여행 풍경을 나중에 떠올릴 때 이 사람은?	빛과 장소 같은 구체적인 장면이 먼저 난다	그때의 기분과 분위기가 먼저 난다	att.memory:A
comment-section	comment-section-v2	quiet	생각이 복잡할 때 조용한 시간이 생기면 나는?	생각이 복잡할 때 조용한 시간이 생기면 이 사람은?	음악이나 산책으로 자극을 바꾼다	소리를 줄이고 가만히 가라앉힌다	reg.stimulus:A
comment-section	comment-section-v2	mistake	실수를 알아차리면 나는?	실수를 알아차리면 이 사람은?	가장 작은 수정부터 바로 시작한다	전체 영향을 먼저 파악한 뒤 움직인다	act.start:A
comment-section	comment-section-v2	compliment-thought	오래 남은 칭찬을 다시 떠올릴 때 나는?	오래 남은 칭찬을 다시 떠올릴 때 이 사람은?	그때의 장면과 맥락까지 펼쳐 본다	핵심 한마디만 선명하게 기억한다	att.story:A
compliment-receipt	compliment-receipt-v2	achievement	함께 만든 성과를 칭찬할 때 나는?	함께 만든 성과를 칭찬할 때 이 사람은?	서로 속도를 맞춘 과정을 말한다	각자 다른 역할로 채운 부분을 말한다	coop.sync:A
compliment-receipt	compliment-receipt-v2	feedback	좋은 피드백을 받으면 다음에는?	좋은 피드백을 받으면 다음에 이 사람은?	잘된 방식을 그대로 한 번 더 써 본다	한 부분을 바꿔 더 나은지 확인한다	dec.revision:A
compliment-receipt	compliment-receipt-v2	memory	누군가에게 오래 남을 칭찬을 한다면?	누군가에게 오래 남을 칭찬을 할 때 이 사람은?	구체적인 장면과 이유를 자세히 말한다	가장 중요한 한마디로 전한다	att.story:A
decision-spiral	decision-spiral-v2	recommendation	둘이 메뉴를 고를 때 더 편한 방식은?	둘이 메뉴를 고를 때 이 사람이 더 편해하는 방식은?	둘 다 비슷하게 원하는 메뉴를 찾는다	한 명은 후보를, 한 명은 결정을 맡는다	coop.sync:A
decision-spiral	decision-spiral-v2	purchase	작은 예산으로 사고 싶은 게 여러 개라면?	작은 예산으로 사고 싶은 게 여러 개라면 이 사람은?	가장 마음에 드는 하나를 고른다	작은 즐거움 여러 개를 고른다	pref.focus:A
decision-spiral	decision-spiral-v2	easy-day	결정 피로가 쌓인 날 하나를 골랐다면?	결정 피로가 쌓인 날 하나를 고른 뒤 이 사람은?	더 보지 않고 그 선택으로 끝낸다	혹시 몰라 후보 하나는 남겨 둔다	dec.openness:A
emoji-subtitles	emoji-subtitles-v2	gif-choice	새 이모지 목록에서 반응 하나를 찾을 때 나는?	새 이모지 목록에서 반응 하나를 찾을 때 이 사람은?	처음부터 하나씩 차례로 훑는다	눈에 띄는 핵심 반응부터 고른다	att.reading:A
emoji-subtitles	emoji-subtitles-v2	reply-context	한 장면을 채팅으로 설명해야 할 때 나는?	한 장면을 채팅으로 설명해야 할 때 이 사람은?	이모지를 이어 맥락을 펼친다	핵심이 되는 한 문장만 보낸다	att.story:A
emoji-subtitles	emoji-subtitles-v2	translate	상대의 이모지를 못 알아들으면 나는?	상대의 이모지를 못 알아들으면 이 사람은?	뜻을 바로 물어본다	내가 이해한 뜻을 먼저 말해 확인한다	coop.ambiguity:A
first-impression	first-impression-v2	first-topic	낯선 모임에서 대화를 이어갈 때 나는?	낯선 모임에서 대화를 이어갈 때 이 사람은?	여러 사람과 짧게 공통점을 찾는다	한 사람의 이야기를 오래 파고든다	rel.range:A
first-impression	first-impression-v2	meet-again	한 번 만난 사람을 다시 보면 나는?	한 번 만난 사람을 다시 보면 이 사람은?	지난 이야기를 바로 이어 간다	새 근황부터 천천히 다시 맞춘다	rel.distance:A
first-impression	first-impression-v2	outfit	처음 만나는 날 옷을 고를 때 나는?	처음 만나는 날 옷을 고를 때 이 사람은?	익숙한 조합을 전날 미리 정해 둔다	나가기 직전 새로운 포인트를 그날 고른다	act.preparation:A,pref.familiarity:A
friend-fusion	friend-fusion-v2	game-team	게임을 함께 시작하면 우리는?	게임을 함께 시작하면 이 사람은?	같은 속도로 규칙을 익혀 간다	한 명은 규칙, 한 명은 분위기를 맡는다	coop.sync:A
friend-fusion	friend-fusion-v2	photo-team	사진을 함께 정리할 때 나는?	사진을 함께 정리할 때 이 사람은?	먼저 찍을 장면과 구도를 연다	마지막 사진을 고르고 마무리한다	coop.role:A
friend-fusion	friend-fusion-v2	gift-team	선물 단서를 같이 모을 때 나는?	선물 단서를 같이 모을 때 이 사람은?	들은 이야기를 차례로 정리한다	가장 중요한 취향부터 찾는다	att.reading:A
group-chat-role	group-chat-role-v2	decision	의견이 갈리는 단체 채팅에서 나는?	의견이 갈리는 단체 채팅에서 이 사람은?	모두가 함께 갈 수 있는 안을 맞춘다	역할을 나눠 각자 원하는 부분을 채운다	coop.sync:A
group-chat-role	group-chat-role-v2	inside-joke	우리끼리 아는 얘기를 새 사람에게 전한다면?	우리끼리 아는 얘기를 새 사람에게 전할 때 이 사람은?	처음부터 맥락을 자세히 풀어 준다	웃긴 핵심 장면만 짧게 전한다	att.story:A
honest-self	honest-self-v2	compliment	기분이 안 좋은 날 편한 사람이 물으면 나는?	기분이 안 좋은 날 편한 사람이 물으면 이 사람은?	비교적 바로 속마음을 꺼낸다	몇 번 대화를 나누며 천천히 연다	rel.distance:A
laugh-track	laugh-track-v1	reference	예전에 웃긴 콘텐츠를 다시 보면 나는?	예전에 웃긴 콘텐츠를 다시 보면 이 사람은?	비슷한 추천을 따라 더 찾아본다	일부러 다른 스타일의 웃음을 찾는다	pref.discovery:A
laugh-track	laugh-track-v1	humor-style	취향에 맞는 유머 하나를 발견하면 나는?	취향에 맞는 유머 하나를 발견하면 이 사람은?	비슷한 스타일을 연달아 찾아본다	정반대 스타일도 일부러 찾아본다	pref.discovery:A
laugh-track	laugh-track-v1	recover	너무 웃어서 진정해야 할 때 나는?	너무 웃어서 진정해야 할 때 이 사람은?	다른 이야기나 활동으로 자극을 바꾼다	소리를 줄이고 가만히 숨을 고른다	reg.stimulus:A
reply-temperature	reply-temperature-v2	long-message	긴 메시지를 받으면 나는?	긴 메시지를 받으면 이 사람은?	처음부터 순서대로 읽으며 답한다	가장 중요한 질문부터 찾아 답한다	att.reading:A
room-temperature	room-temperature-v2	reset-space	집에 돌아와 일상 모드를 바꿀 때 나는?	집에 돌아와 일상 모드를 바꿀 때 이 사람은?	씻고 옷을 갈아입으며 바로 전환한다	잠깐 앉아 바깥의 여운부터 정리한다	reg.transition:A
room-temperature	room-temperature-v2	lighting	피곤한 밤에 방 분위기를 바꾼다면?	피곤한 밤에 방 분위기를 바꿀 때 이 사람은?	조명을 밝히거나 음악을 틀어 전환한다	불빛과 소리를 줄여 가라앉힌다	reg.stimulus:A
room-temperature	room-temperature-v2	window	방이 답답해 손보고 싶을 때 나는?	방이 답답해 손보고 싶을 때 이 사람은?	창문 하나부터 열어 변화를 시작한다	빛과 온도와 공기를 전체적으로 살핀다	act.start:A
room-temperature	room-temperature-v2	plant	방에 쓸 수 있는 작은 예산이 생기면?	방에 쓸 수 있는 작은 예산이 생기면 이 사람은?	오래 마음에 들 좋은 하나를 고른다	작은 장식 여러 개로 분위기를 만든다	pref.focus:A
